# 阿里达摩院 提交列表（纯文本视图）
# 共 286 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
bb8ba0ce | 2024-01-21 | Jerry Shih | crypto: riscv - add vector crypto accelerated ChaCha20
799bba97 | 2024-01-21 | Jerry Shih | crypto: riscv - add vector crypto accelerated AES-{ECB,CBC,CTR,XTS}
ae3fa7ab | 2024-01-21 | Heiko Stuebner | RISC-V: hook new crypto subdir into build-system
c7923fd7 | 2024-01-21 | Eric Biggers | RISC-V: add TOOLCHAIN_HAS_VECTOR_CRYPTO
b2ba6f5b | 2024-01-21 | Heiko Stuebner | RISC-V: add helper function to read the vector VLEN
514c1e0b | 2023-10-12 | Ian Rogers | perf pmu: Lazily compute default config
724cf747 | 2023-10-12 | Ian Rogers | perf pmu-events: Remember the perf_events_map for a PMU
3ebc9035 | 2023-10-12 | Ian Rogers | perf pmu: Const-ify perf_pmu__config_terms
7263a00c | 2023-10-12 | Ian Rogers | perf pmu: Const-ify file APIs
d211db35 | 2023-10-12 | Ian Rogers | perf arm-spe: Move PMU initialization from default config code
8e71818b | 2023-10-12 | Ian Rogers | perf intel-pt: Move PMU initialization from default config code
ace116cb | 2023-10-12 | Ian Rogers | perf pmu: Rename perf_pmu__get_default_config to perf_pmu__arch_init
a0ff9ce3 | 2023-09-24 | Ian Rogers | perf pmus: Make PMU alias name loading lazy
1213fe90 | 2023-09-01 | Ian Rogers | perf parse-events: Introduce 'struct parse_events_terms'
4d953f14 | 2023-09-01 | Ian Rogers | perf parse-events: Copy fewer term lists
5e497694 | 2023-09-01 | Ian Rogers | perf parse-events: Avoid enum casts
d751953c | 2023-09-01 | Ian Rogers | perf parse-events: Tidy up str parameter
9eb2d92d | 2023-09-01 | Ian Rogers | perf parse-events: Remove unnecessary __maybe_unused
9cf7c767 | 2025-04-21 | Guo Ren | riscv: xchg: Prefetch the destination word for sc.w
cec5520a | 2025-04-21 | Guo Ren | riscv: Add ARCH_HAS_PREFETCH[W] support with Zicbop
5735638e | 2025-01-02 | Guo Ren | iommu/riscv: Fixup compile warning
185830ca | 2024-04-22 | Shenlin Liang | perf kvm/riscv: Port perf kvm stat to RISC-V
ca90695f | 2024-04-22 | Shenlin Liang | RISCV: KVM: add tracepoints for entry and exit events
75fbe7e2 | 2024-11-03 | Guo Ren | asm-generic: ticket-lock: Add separate ticket-lock.h
0aef45e2 | 2024-11-03 | Guo Ren | asm-generic: ticket-lock: Reuse arch_spinlock_t of qspinlock
f8898c8a | 2023-09-08 | Guo Ren | asm-generic: ticket-lock: Optimize arch_spin_value_unlocked()
888f6a10 | 2023-09-18 | Baolin Wang | mm: add statistics for PUD level pagetable
291dd7a5 | 2024-09-01 | xianbing Zhu | hibernate: reduce logs in nosave_region register/remove
efcfee04 | 2024-09-01 | Xiangyi Zeng | drivers: pwm_bl: fix adjusting failure of pwm backlight when resume from str
0b482950 | 2024-09-01 | David Li | audio: th1520: solve misalignment dma addr problem when HDMI playback
f0235f11 | 2024-09-01 | Xiangyi Zeng | drivers: i2c-hid: fix rvbook i2c-hid wake-up error
3f2f4795 | 2024-09-01 | xianbing Zhu | hibernate: add blkdev flush op berfore poweroff
9d958875 | 2024-09-01 | David Li | audio: light: i2s dma channel acquire change to dynamic
90057597 | 2024-09-01 | Xiangyi Zeng | dts: crash: enable watchdog0 and watchdog1 in crash kernel
7f69fcee | 2024-09-01 | tingming | defconfig: th1520: to fix problem of do_compile_kernelmodules fail
fb1b2aab | 2024-09-01 | tingming | defconfig: th1520: to add configs of media
90e4634b | 2024-09-01 | Xiangyi Zeng | dts: som: add gpio-keys node
1e2b369e | 2024-09-01 | Xiangyi Zeng | driver: wdt: th1520_wdt: add th1520_wdt driver pm ops
74601b73 | 2024-09-01 | Xiangyi Zeng | drivers: mtd: nand: spi: support new winbond-spi-nand devices
1bc88bce | 2024-09-01 | tingming | config: th1520: to modify MEMBLOCK&LOCALVERSION_AUTO config
fcaabeea | 2024-09-01 | xianbing Zhu | dts:th1520: fix sd card wprtn issue
0aec1b18 | 2024-09-01 | xianbing Zhu | dts:th1520: add aliases for basic interface
30d7f2fe | 2024-09-01 | shuofeng.ren | audio: light_fm: change hdmi config for ap i2s hdmi audio
4be262c3 | 2024-09-01 | Huaming | driver:i2c:fix rx_over miss re-try
e138f1c3 | 2024-09-01 | Esther Z | drivers: cpufreq: fix cpufreq em model regsiter warn.
2e9f1862 | 2024-09-01 | Xiangyi Zeng | drivers: pwm: fix pwm enable status check error
3c154db8 | 2024-09-01 | xianbing Zhu | th1520: sdhci: add quirks for th1520-a-val board
7e90a362 | 2024-09-01 | xianbing Zhu | sdhci:th1520: fixup mmc retune infinitely issue
11902712 | 2024-09-01 | David Li | dts: audio: update audio pin configuration
4a97f0cf | 2024-09-01 | David Li | audio: th1520: workaround to solve noise at the end
4afffefe | 2024-09-01 | tingming | dts: th1520_defconfig: to revert the config CONFIG_USB_GADGET
99da4a3d | 2024-09-01 | Xiangyi Zeng | dts: gpio: add gpio/0/1/2/3 clk gate
3e06d9ce | 2024-09-01 | xianbing Zhu | driver: pty/clk: bootargs options for pty and clk_debug init
19eb33f0 | 2024-09-01 | xianbing Zhu | hibernate: improve crc32 speed by calc compressed data
7a43b2d8 | 2024-09-01 | xianbing Zhu | trace: add bootargs options for trace and ftrace for hibernate resume
c7471ece | 2024-09-01 | xianbing Zhu | hibernate: restart when resume fail and added resume dev
