# 软件所 提交列表（纯文本视图）
# 共 252 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
0a044bc2 | 2024-09-19 | Han Gao | sync: xuantie: vpu-vc8000e SDK v2.0.2 code
57e23bb3 | 2024-09-19 | Han Gao | sync: xuantie: vpu-vc8000d SDK v2.0.2 code
4ab033da | 2024-08-07 | Han Gao | symbol: gpl: export pud_offset/p4d_offset symbol
0ade10ae | 2024-09-19 | Han Gao | sync: xuantie: video_memory SDK v2.0.2 code
fb687ff0 | 2024-09-19 | Han Gao | sync: img: npu-ax3386: sync SDK V2.0.2 code
a3e12e90 | 2024-09-16 | Han Gao | ci: kernel auto build on native
c8491ce8 | 2024-03-28 | Icenowy Zheng | drm/verisilicon: add format_mod_supported to plane
6041ef4d | 2023-12-28 | Icenowy Zheng | drm/verisilicon: bias fb address for dual-head offset
8b8b3593 | 2023-12-27 | Icenowy Zheng | drm/verisilicon: finally fix the cursor position
63e091f3 | 2023-12-05 | Icenowy Zheng | drm/verisilicon: fix cursor position
5f357711 | 2023-05-08 | Icenowy Zheng | drm: verisilicon: fix fbcon
400bd518 | 2022-09-14 | Icenowy Zheng | drm/dc8200: disable gamma lut now
4360faf2 | 2024-09-14 | Drew Fustini | cpufreq: th1520-cpufreq: fix cpu_pll1 already disabled warning
2056faea | 2024-09-13 | Icenowy Zheng | th1520: use etnaviv gpu
ddc2460a | 2024-09-13 | Han Gao | config: enable configs for TH1520
8d9057a6 | 2024-09-13 | Han Gao | config: enable ARCH_XUANTIE
74f7b84f | 2024-09-13 | Han Gao | config: mmc_block & ext4 builtin
7e54fdcd | 2024-09-13 | Han Gao | config: init revyos defconfig
4ab159d7 | 2024-09-01 | Han Gao | configs: enable img rogue gpu
a02ce3e9 | 2024-09-01 | Mingzheng Xing | th1520: gpu: Add driver for PowerVR Rogue GPU
279f2175 | 2024-09-01 | Han Gao | fix: dts: remove duplicate node
1a62a6f6 | 2024-09-01 | Han Gao | Solve problem of hdmi-edid reading
c5125722 | 2024-09-01 | Han Gao | riscv:uprobe: fix flush_icache to ensure that instructions are refreshed when switching to user mode
48a0a686 | 2024-09-01 | Han Gao | HDMI: fix bug of not being able to light up the external monitor
0d67288b | 2024-09-01 | Han Gao | Fix panel-jadard-jd9365da panel driver problem
ac114c72 | 2024-09-01 | Han Gao | Fix panel-jadard-jd9365da panel driver problem
0ddeff68 | 2024-09-01 | Han Gao | sensor: fix bug of channel 1 and channel 2 of video2 failed to run
f64212e8 | 2024-09-01 | Han Gao | Expand cma size from 512MB to 768MB to meet the FBO video frame buffer requirement from chromium's X11 XVideo display feature
95d6676c | 2024-09-01 | Han Gao | defconfig: th1520: to fix the problem of perf test fail
e61296f7 | 2024-09-01 | Han Gao | Fix: Repair rvbook hall sensor functionality and optimize codebase
