# 中兴通讯 提交列表（纯文本视图）
# 共 252 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
911788c6 | 2024-06-10 | Lu Baolu | vfio/type1: Use iommu_paging_domain_alloc()
1df3dd04 | 2024-06-10 | Lu Baolu | iommufd: Use iommu_paging_domain_alloc()
272621c8 | 2024-06-10 | Lu Baolu | iommu: Add iommu_paging_domain_alloc() interface
67bc8b41 | 2025-02-28 | Robin Murphy | iommu: Get DT/ACPI parsing into the proper probe path
6b5a1375 | 2025-02-28 | Robin Murphy | iommu: Keep dev->iommu state consistent
edd45ea6 | 2025-02-28 | Robin Murphy | iommu: Resolve ops in iommu_init_device()
fbd1e5a0 | 2025-02-28 | Robin Murphy | iommu: Handle race with default domain setup
0cca36a7 | 2025-02-27 | Robin Murphy | iommu: Unexport iommu_fwspec_free()
d281086a | 2024-07-02 | Robin Murphy | iommu: Remove iommu_fwspec ops
d2931cdd | 2024-07-02 | Robin Murphy | OF: Simplify of_iommu_configure()
54d49e62 | 2024-07-02 | Robin Murphy | ACPI: Retire acpi_iommu_fwspec_ops()
c814140c | 2024-07-02 | Robin Murphy | iommu: Resolve fwspec ops automatically
5436cde2 | 2023-12-07 | Jason Gunthorpe | acpi: Do not return struct iommu_ops from acpi_iommu_configure_id()
1887a950 | 2023-12-07 | Jason Gunthorpe | iommu: Mark dev_iommu_priv_set() with a lockdep
bef8f4b4 | 2023-12-07 | Jason Gunthorpe | iommu: Mark dev_iommu_get() with lockdep
1b76d057 | 2023-12-07 | Jason Gunthorpe | iommu/of: Use -ENODEV consistently in of_iommu_configure()
c27b0a9d | 2023-12-07 | Jason Gunthorpe | iommmu/of: Do not return struct iommu_ops from of_iommu_configure()
38d06d99 | 2023-12-07 | Jason Gunthorpe | iommu: Remove struct iommu_ops *iommu from arch_setup_dma_ops()
bd9d0b31 | 2023-11-21 | Robin Murphy | iommu: Clean up open-coded ownership checks
412d33cf | 2023-11-21 | Robin Murphy | iommu: Retire bus ops
e9c37a8e | 2023-11-21 | Robin Murphy | iommu: Decouple iommu_domain_alloc() from bus ops
6f7062b4 | 2023-11-21 | Robin Murphy | iommu: Validate that devices match domains
d500f16c | 2023-11-21 | Robin Murphy | iommu: Decouple iommu_present() from bus ops
497975e1 | 2023-11-21 | Robin Murphy | iommu: Factor out some helpers
a452aec4 | 2024-03-13 | Xiao Wang | riscv: uaccess: Relax the threshold for fast path
c1e3b5b0 | 2024-03-13 | Xiao Wang | riscv: uaccess: Allow the last potential unrolled copy
513dfb89 | 2024-12-24 | Atish Patra | RISC-V: KVM: Add new exit statstics for redirected traps
6947bb98 | 2024-12-24 | Atish Patra | RISC-V: KVM: Update firmware counters for various events
a0306303 | 2024-04-29 | Yu-Wei Hsu | RISC-V: KVM: Redirect AMO load/store access fault traps to guest
9a1e8da0 | 2025-08-20 | XianLiang Huang | iommu/riscv: prevent NULL deref in iova_to_phys
5014139d | 2025-01-03 | Xu Lu | iommu/riscv: Add shutdown function for iommu driver
4805540b | 2025-01-03 | Xu Lu | iommu/riscv: Empty iommu queue before enabling it
38b89563 | 2024-11-12 | Andrew Jones | iommu/riscv: Add support for platform msi
f37b04f7 | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Paging domain support
de8c663e | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Command and fault queue support
1f05e12c | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Device directory management.
2330eb69 | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Enable IOMMU registration and device probe.
140f04e8 | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Add RISC-V IOMMU PCIe device driver
371885a5 | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Add RISC-V IOMMU platform device driver
83a2aa31 | 2024-10-15 | Tomasz Jeznach | dt-bindings: iommu: riscv: Add bindings for RISC-V IOMMU
0b8f7b9f | 2024-04-13 | Pasha Tatashin | iommu/vt-d: add wrapper functions for page allocations
e136b0b2 | 2024-02-16 | Krzysztof Kozlowski | iommu: constify of_phandle_args in xlate
5334472e | 2023-11-22 | Matt Coster | sizes.h: Add entries between SZ_32G and SZ_64T
f3b94a29 | 2024-03-05 | Lu Baolu | iommu: Add static iommu_ops->release_domain
e74efb07 | 2023-09-27 | Jason Gunthorpe | iommufd: Convert to alloc_domain_paging()
aec8b750 | 2024-04-13 | Pasha Tatashin | iommu: Move IOMMU_DOMAIN_BLOCKED global statics to ops->blocked_domain
c7fcd287 | 2024-07-17 | Alexandre Ghiti | riscv: Stop emitting preventive sfence.vma for new userspace mappings with Svvptc
c22d57c9 | 2024-07-17 | Alexandre Ghiti | riscv: Stop emitting preventive sfence.vma for new vmalloc mappings
8d607de9 | 2023-10-20 | Anup Patel | KVM: riscv: selftests: Add SBI DBCN extension to get-reg-list test
